region,hemi,value1,value2
AAA,right,NA,NA
AAA,left,NA,NA
ACA,right,NA,NA
ACA,left,NA,NA
ACAd,right,NA,NA
ACAd,left,NA,NA
ACAd1,right,NA,NA
ACAd1,left,NA,NA
ACAd2/3,right,NA,NA
ACAd2/3,left,NA,NA
ACAd5,right,NA,NA
ACAd5,left,NA,NA
ACAd6a,right,NA,NA
ACAd6a,left,NA,NA
ACAd6b,right,NA,NA
ACAd6b,left,NA,NA
ACAv,right,NA,NA
ACAv,left,NA,NA
ACAv1,right,NA,NA
ACAv1,left,NA,NA
ACAv2/3,right,NA,NA
ACAv2/3,left,NA,NA
ACAv5,right,NA,NA
ACAv5,left,NA,NA
ACAv6a,right,NA,NA
ACAv6a,left,NA,NA
ACAv6b,right,NA,NA
ACAv6b,left,NA,NA
ACB,right,NA,NA
ACB,left,NA,NA
aco,right,NA,NA
aco,left,NA,NA
Acs5,right,NA,NA
Acs5,left,NA,NA
act,right,NA,NA
act,left,NA,NA
ACVII,right,NA,NA
ACVII,left,NA,NA
AD,right,NA,NA
AD,left,NA,NA
ADP,right,NA,NA
ADP,left,NA,NA
AHN,right,NA,NA
AHN,left,NA,NA
AI,right,NA,NA
AI,left,NA,NA
AId,right,NA,NA
AId,left,NA,NA
AId1,right,NA,NA
AId1,left,NA,NA
AId2/3,right,NA,NA
AId2/3,left,NA,NA
AId5,right,NA,NA
AId5,left,NA,NA
AId6a,right,NA,NA
AId6a,left,NA,NA
AId6b,right,NA,NA
AId6b,left,NA,NA
AIp,right,NA,NA
AIp,left,NA,NA
AIp1,right,NA,NA
AIp1,left,NA,NA
AIp2/3,right,NA,NA
AIp2/3,left,NA,NA
AIp5,right,NA,NA
AIp5,left,NA,NA
AIp6a,right,NA,NA
AIp6a,left,NA,NA
AIp6b,right,NA,NA
AIp6b,left,NA,NA
AIv,right,NA,NA
AIv,left,NA,NA
AIv1,right,NA,NA
AIv1,left,NA,NA
AIv2/3,right,NA,NA
AIv2/3,left,NA,NA
AIv5,right,NA,NA
AIv5,left,NA,NA
AIv6a,right,NA,NA
AIv6a,left,NA,NA
AIv6b,right,NA,NA
AIv6b,left,NA,NA
alv,right,NA,NA
alv,left,NA,NA
AM,right,NA,NA
AM,left,NA,NA
AMB,right,NA,NA
AMB,left,NA,NA
AMBd,right,NA,NA
AMBd,left,NA,NA
AMBv,right,NA,NA
AMBv,left,NA,NA
amc,right,NA,NA
amc,left,NA,NA
AMd,right,NA,NA
AMd,left,NA,NA
AMv,right,NA,NA
AMv,left,NA,NA
AN,right,NA,NA
AN,left,NA,NA
ANcr1,right,NA,NA
ANcr1,left,NA,NA
ANcr2,right,NA,NA
ANcr2,left,NA,NA
AOB,right,NA,NA
AOB,left,NA,NA
AOBgl,right,NA,NA
AOBgl,left,NA,NA
AOBgr,right,NA,NA
AOBgr,left,NA,NA
AOBmi,right,NA,NA
AOBmi,left,NA,NA
AON,right,NA,NA
AON,left,NA,NA
AP,right,NA,NA
AP,left,NA,NA
APN,right,NA,NA
APN,left,NA,NA
APr,right,NA,NA
APr,left,NA,NA
AQ,right,NA,NA
AQ,left,NA,NA
ar,right,NA,NA
ar,left,NA,NA
arb,right,NA,NA
arb,left,NA,NA
ARH,right,NA,NA
ARH,left,NA,NA
ASO,right,NA,NA
ASO,left,NA,NA
AT,right,NA,NA
AT,left,NA,NA
ATN,right,NA,NA
ATN,left,NA,NA
AUD,right,NA,NA
AUD,left,NA,NA
AUDd,right,NA,NA
AUDd,left,NA,NA
AUDd1,right,NA,NA
AUDd1,left,NA,NA
AUDd2/3,right,NA,NA
AUDd2/3,left,NA,NA
AUDd4,right,NA,NA
AUDd4,left,NA,NA
AUDd5,right,NA,NA
AUDd5,left,NA,NA
AUDd6a,right,NA,NA
AUDd6a,left,NA,NA
AUDd6b,right,NA,NA
AUDd6b,left,NA,NA
AUDp,right,NA,NA
AUDp,left,NA,NA
AUDp1,right,NA,NA
AUDp1,left,NA,NA
AUDp2/3,right,NA,NA
AUDp2/3,left,NA,NA
AUDp4,right,NA,NA
AUDp4,left,NA,NA
AUDp5,right,NA,NA
AUDp5,left,NA,NA
AUDp6a,right,NA,NA
AUDp6a,left,NA,NA
AUDp6b,right,NA,NA
AUDp6b,left,NA,NA
AUDpo,right,NA,NA
AUDpo,left,NA,NA
AUDpo1,right,NA,NA
AUDpo1,left,NA,NA
AUDpo2/3,right,NA,NA
AUDpo2/3,left,NA,NA
AUDpo4,right,NA,NA
AUDpo4,left,NA,NA
AUDpo5,right,NA,NA
AUDpo5,left,NA,NA
AUDpo6a,right,NA,NA
AUDpo6a,left,NA,NA
AUDpo6b,right,NA,NA
AUDpo6b,left,NA,NA
AUDv,right,NA,NA
AUDv,left,NA,NA
AUDv1,right,NA,NA
AUDv1,left,NA,NA
AUDv2/3,right,NA,NA
AUDv2/3,left,NA,NA
AUDv4,right,NA,NA
AUDv4,left,NA,NA
AUDv5,right,NA,NA
AUDv5,left,NA,NA
AUDv6a,right,NA,NA
AUDv6a,left,NA,NA
AUDv6b,right,NA,NA
AUDv6b,left,NA,NA
AV,right,NA,NA
AV,left,NA,NA
AVP,right,NA,NA
AVP,left,NA,NA
AVPV,right,NA,NA
AVPV,left,NA,NA
B,right,NA,NA
B,left,NA,NA
BA,right,NA,NA
BA,left,NA,NA
BAC,right,NA,NA
BAC,left,NA,NA
bic,right,NA,NA
bic,left,NA,NA
BLA,right,NA,NA
BLA,left,NA,NA
BLAa,right,NA,NA
BLAa,left,NA,NA
BLAp,right,NA,NA
BLAp,left,NA,NA
BLAv,right,NA,NA
BLAv,left,NA,NA
BMA,right,NA,NA
BMA,left,NA,NA
BMAa,right,NA,NA
BMAa,left,NA,NA
BMAp,right,NA,NA
BMAp,left,NA,NA
BS,right,NA,NA
BS,left,NA,NA
bsc,right,NA,NA
bsc,left,NA,NA
BST,right,NA,NA
BST,left,NA,NA
c,right,NA,NA
c,left,NA,NA
CA,right,NA,NA
CA,left,NA,NA
CA1,right,NA,NA
CA1,left,NA,NA
CA2,right,NA,NA
CA2,left,NA,NA
CA3,right,NA,NA
CA3,left,NA,NA
CB,right,NA,NA
CB,left,NA,NA
cbc,right,NA,NA
cbc,left,NA,NA
cbf,right,NA,NA
cbf,left,NA,NA
CBN,right,NA,NA
CBN,left,NA,NA
cbp,right,NA,NA
cbp,left,NA,NA
CBX,right,NA,NA
CBX,left,NA,NA
cc,right,NA,NA
cc,left,NA,NA
ccb,right,NA,NA
ccb,left,NA,NA
ccg,right,NA,NA
ccg,left,NA,NA
ccs,right,NA,NA
ccs,left,NA,NA
CEA,right,NA,NA
CEA,left,NA,NA
CEAc,right,NA,NA
CEAc,left,NA,NA
CEAl,right,NA,NA
CEAl,left,NA,NA
CEAm,right,NA,NA
CEAm,left,NA,NA
CENT,right,NA,NA
CENT,left,NA,NA
CENT2,right,NA,NA
CENT2,left,NA,NA
CENT3,right,NA,NA
CENT3,left,NA,NA
cett,right,NA,NA
cett,left,NA,NA
CH,right,NA,NA
CH,left,NA,NA
chpl,right,NA,NA
chpl,left,NA,NA
cic,right,NA,NA
cic,left,NA,NA
cing,right,NA,NA
cing,left,NA,NA
CL,right,NA,NA
CL,left,NA,NA
CLA,right,NA,NA
CLA,left,NA,NA
CLI,right,NA,NA
CLI,left,NA,NA
CM,right,NA,NA
CM,left,NA,NA
cm,right,NA,NA
cm,left,NA,NA
CN,right,NA,NA
CN,left,NA,NA
CNU,right,NA,NA
CNU,left,NA,NA
COA,right,NA,NA
COA,left,NA,NA
COAa,right,NA,NA
COAa,left,NA,NA
COAp,right,NA,NA
COAp,left,NA,NA
COApl,right,NA,NA
COApl,left,NA,NA
COApm,right,NA,NA
COApm,left,NA,NA
COPY,right,NA,NA
COPY,left,NA,NA
CP,right,NA,NA
CP,left,NA,NA
cpd,right,NA,NA
cpd,left,NA,NA
CS,right,NA,NA
CS,left,NA,NA
csc,right,NA,NA
csc,left,NA,NA
cst,right,NA,NA
cst,left,NA,NA
CTX,right,NA,NA
CTX,left,NA,NA
CTXpl,right,NA,NA
CTXpl,left,NA,NA
CTXsp,right,NA,NA
CTXsp,left,NA,NA
CU,right,NA,NA
CU,left,NA,NA
cuf,right,NA,NA
cuf,left,NA,NA
CUL,right,NA,NA
CUL,left,NA,NA
CUL4,right,NA,NA
CUL4,left,NA,NA
CUN,right,NA,NA
CUN,left,NA,NA
cVIIIn,right,NA,NA
cVIIIn,left,NA,NA
das,right,NA,NA
das,left,NA,NA
dc,right,NA,NA
dc,left,NA,NA
DCN,right,NA,NA
DCN,left,NA,NA
DCO,right,NA,NA
DCO,left,NA,NA
DEC,right,NA,NA
DEC,left,NA,NA
df,right,NA,NA
df,left,NA,NA
DG,right,NA,NA
DG,left,NA,NA
DG-mo,right,NA,NA
DG-mo,left,NA,NA
DG-po,right,NA,NA
DG-po,left,NA,NA
DG-sg,right,NA,NA
DG-sg,left,NA,NA
dhc,right,NA,NA
dhc,left,NA,NA
DMH,right,NA,NA
DMH,left,NA,NA
DMX,right,NA,NA
DMX,left,NA,NA
DN,right,NA,NA
DN,left,NA,NA
DORpm,right,NA,NA
DORpm,left,NA,NA
DORsm,right,NA,NA
DORsm,left,NA,NA
DP,right,NA,NA
DP,left,NA,NA
DR,right,NA,NA
DR,left,NA,NA
drt,right,NA,NA
drt,left,NA,NA
dscp,right,NA,NA
dscp,left,NA,NA
DT,right,NA,NA
DT,left,NA,NA
dtd,right,NA,NA
dtd,left,NA,NA
DTN,right,NA,NA
DTN,left,NA,NA
ec,right,NA,NA
ec,left,NA,NA
ECT,right,NA,NA
ECT,left,NA,NA
ECT1,right,NA,NA
ECT1,left,NA,NA
ECT2/3,right,NA,NA
ECT2/3,left,NA,NA
ECT5,right,NA,NA
ECT5,left,NA,NA
ECT6a,right,NA,NA
ECT6a,left,NA,NA
ECT6b,right,NA,NA
ECT6b,left,NA,NA
ECU,right,NA,NA
ECU,left,NA,NA
ee,right,NA,NA
ee,left,NA,NA
em,right,NA,NA
em,left,NA,NA
ENT,right,NA,NA
ENT,left,NA,NA
ENTl,right,NA,NA
ENTl,left,NA,NA
ENTl1,right,NA,NA
ENTl1,left,NA,NA
ENTl2,right,NA,NA
ENTl2,left,NA,NA
ENTl3,right,NA,NA
ENTl3,left,NA,NA
ENTl5,right,NA,NA
ENTl5,left,NA,NA
ENTl6a,right,NA,NA
ENTl6a,left,NA,NA
ENTm,right,NA,NA
ENTm,left,NA,NA
ENTm1,right,NA,NA
ENTm1,left,NA,NA
ENTm2,right,NA,NA
ENTm2,left,NA,NA
ENTm3,right,NA,NA
ENTm3,left,NA,NA
ENTm5,right,NA,NA
ENTm5,left,NA,NA
ENTm6,right,NA,NA
ENTm6,left,NA,NA
EP,right,NA,NA
EP,left,NA,NA
EPd,right,NA,NA
EPd,left,NA,NA
EPI,right,NA,NA
EPI,left,NA,NA
eps,right,NA,NA
eps,left,NA,NA
epsc,right,NA,NA
epsc,left,NA,NA
EPv,right,NA,NA
EPv,left,NA,NA
Eth,right,NA,NA
Eth,left,NA,NA
EW,right,NA,NA
EW,left,NA,NA
fa,right,NA,NA
fa,left,NA,NA
FC,right,NA,NA
FC,left,NA,NA
FF,right,NA,NA
FF,left,NA,NA
fi,right,NA,NA
fi,left,NA,NA
fiber tracts,right,NA,NA
fiber tracts,left,NA,NA
FL,right,NA,NA
FL,left,NA,NA
FN,right,NA,NA
FN,left,NA,NA
FOTU,right,NA,NA
FOTU,left,NA,NA
fp,right,NA,NA
fp,left,NA,NA
fr,right,NA,NA
